,Location,Subcategory,Hierarchy_Level,Year,RSP_USD_Mnl,Volume
164,1,3,3,2026,502.0,134.0
165,2,3,3,2016,131.0,21.0
166,2,3,3,2017,144.0,23.0
167,2,3,3,2018,192.0,28.0
168,2,3,3,2019,227.0,32.0
169,2,3,3,2020,254.0,35.0
170,2,3,3,2021,278.0,38.0
171,2,3,3,2022,307.0,42.0
172,2,3,3,2023,337.0,45.0
173,2,3,3,2024,368.0,48.0
174,2,3,3,2025,400.0,51.0
175,2,3,3,2026,432.0,54.0
176,3,3,3,2016,2015.0000000000002,880.0
177,3,3,3,2017,2032.0,875.0
178,3,3,3,2018,2130.0,897.0
179,3,3,3,2019,2314.0,952.0
180,3,3,3,2020,2.707,01.06
181,3,3,3,2021,2.882,1.098
182,3,3,3,2022,3.033,1.143
183,3,3,3,2023,3.11,1.176
184,3,3,3,2024,3.17,1.204
185,3,3,3,2025,3.229,1.233
186,3,3,3,2026,3.294,1.265
187,4,3,3,2016,178.0,59.0
188,4,3,3,2017,197.0,62.0
189,4,3,3,2018,219.0,69.0
190,4,3,3,2019,241.0,74.0
191,4,3,3,2020,268.0,82.0
192,4,3,3,2021,296.0,90.0
193,4,3,3,2022,328.0,99.0
194,4,3,3,2023,361.0,109.0
195,4,3,3,2024,393.0,118.0
196,4,3,3,2025,423.0,126.0
197,4,3,3,2026,453.0,135.0
198,5,3,3,2016,7.0,2.0
199,5,3,3,2017,7.0,2.0
200,5,3,3,2018,61.0,18.0
201,5,3,3,2019,102.0,30.0
202,5,3,3,2020,146.0,45.0
203,5,3,3,2021,191.0,59.0
204,5,3,3,2022,253.0,79.0
205,5,3,3,2023,333.0,103.0
206,5,3,3,2024,412.0,127.0
207,5,3,3,2025,500.0,152.0
208,5,3,3,2026,591.0,177.0
209,6,3,3,2016,1980.0,391.0
210,6,3,3,2017,1682.0,365.0
211,6,3,3,2018,1643.0,378.0
212,6,3,3,2019,1737.0,410.0
213,6,3,3,2020,1744.0,405.0
214,6,3,3,2021,1713.0,399.0
215,6,3,3,2022,1715.0,394.0
216,6,3,3,2023,1727.0,391.0
217,6,3,3,2024,1745.0,389.0
218,6,3,3,2025,1768.0,389.0
219,6,3,3,2026,1795.0,390.0
220,7,3,3,2016,4.518,1.066
221,7,3,3,2017,4.572,1.089
222,7,3,3,2018,4.825,1.144
223,7,3,3,2019,5.044,1.189
224,7,3,3,2020,5.329,1.248
225,7,3,3,2021,5.618,1.313
226,7,3,3,2022,5.925,1.377
227,7,3,3,2023,6.214,1.44
228,7,3,3,2024,6.481,1.497
229,7,3,3,2025,6.741,1.549
230,7,3,3,2026,6.997,1.599
231,1,4,3,2016,146.088,67.822
232,1,4,3,2017,152.508,70.006
233,1,4,3,2018,156.188,69.875
234,1,4,3,2019,160.807,68.122
235,1,4,3,2020,165.22,66.823
236,1,4,3,2021,170.807,67.582
237,1,4,3,2022,176.919,68.446
238,1,4,3,2023,182.342,69.045
239,1,4,3,2024,188.109,69.605
240,1,4,3,2025,193.696,70.106
241,1,4,3,2026,199.149,70.59
242,2,4,3,2016,13.124,1.828
243,2,4,3,2017,13.327,1.839
244,2,4,3,2018,13.298,1.815
245,2,4,3,2019,13.268,1.804
246,2,4,3,2020,13.42,1.819
247,2,4,3,2021,13.61,1.827
248,2,4,3,2022,14.045,1.839
249,2,4,3,2023,14.508,1.849
250,2,4,3,2024,14.968,1.857
251,2,4,3,2025,15.435,1.864
252,2,4,3,2026,15.91,1.871
253,3,4,3,2016,44.747,23.231
254,3,4,3,2017,44.337,22.209
255,3,4,3,2018,42.404,20.806
256,3,4,3,2019,38.876,19.363
257,3,4,3,2020,38.982,19.155
258,3,4,3,2021,38.878,18.839
259,3,4,3,2022,38.632,18.74
260,3,4,3,2023,38.328,18.597
261,3,4,3,2024,38.146,18.512
262,3,4,3,2025,38.043,18.467
263,3,4,3,2026,38.063,18.453
264,4,4,3,2016,103.845,31.432
265,4,4,3,2017,108.484,31.069
266,4,4,3,2018,119.267,32.016
267,4,4,3,2019,128.785,32.023
268,4,4,3,2020,113.621,31.014
269,4,4,3,2021,111.944,31.604
270,4,4,3,2022,114.234,32.249
271,4,4,3,2023,117.565,32.942
272,4,4,3,2024,121.311,33.688
273,4,4,3,2025,125.365,34.478
274,4,4,3,2026,129.532,35.27
275,5,4,3,2016,34.286,11.678
276,5,4,3,2017,35.637,12.08
277,5,4,3,2018,36.553,12.443
278,5,4,3,2019,37.109,12.799
279,5,4,3,2020,38.614,13.202
280,5,4,3,2021,39.553,13.643
281,5,4,3,2022,41.413,14.131
282,5,4,3,2023,43.391,14.653
283,5,4,3,2024,45.46,15.178
284,5,4,3,2025,47.4,15.671
285,5,4,3,2026,49.079,16.14
286,6,4,3,2016,95.859,23.789
287,6,4,3,2017,93.513,23.262
288,6,4,3,2018,92.642,23.154
289,6,4,3,2019,93.086,23.167
290,6,4,3,2020,92.772,23.102
291,6,4,3,2021,91.772,22.913
292,6,4,3,2022,91.869,22.799
293,6,4,3,2023,92.161,22.723
294,6,4,3,2024,92.523,22.673
295,6,4,3,2025,92.898,22.639
296,6,4,3,2026,93.176,22.602
297,7,4,3,2016,103.846,22.093
298,7,4,3,2017,102.369,21.664
299,7,4,3,2018,102.609,21.557
300,7,4,3,2019,102.55,21.461
301,7,4,3,2020,103.383,21.459
302,7,4,3,2021,103.621,21.378
303,7,4,3,2022,104.425,21.358
304,7,4,3,2023,105.243,21.35
305,7,4,3,2024,106.098,21.362
306,7,4,3,2025,106.984,21.384
307,7,4,3,2026,107.958,21.417
308,5,5,3,2016,1.566,1.172
309,5,5,3,2017,1.633,1.14
310,5,5,3,2018,1.671,1.196
311,5,5,3,2019,1.887,1.271
312,5,5,3,2020,2.009,1.302
313,5,5,3,2021,2.093,1.313
314,5,5,3,2022,2.176,1.324
315,5,5,3,2023,2.248,1.339
316,5,5,3,2024,2.32,1.355
317,5,5,3,2025,2.369,1.373
318,5,5,3,2026,2.413,1.391
319,1,6,2,2016,1266.0,136.0
320,1,6,2,2017,1498.0,158.0
321,1,6,2,2018,1951.0,200.0
322,1,6,2,2019,2507.0,244.0
323,1,6,2,2020,2917.0,282.0
324,1,6,2,2021,3298.0,319.0
325,1,6,2,2022,3722.0,360.0
326,1,6,2,2023,4194.0,406.0
327,1,6,2,2024,4685.0,454.0
328,1,6,2,2025,5171.0,502.0
329,1,6,2,2026,5641.0,548.0
330,2,6,2,2016,136.0,14.0
331,2,6,2,2017,138.0,15.0
332,2,6,2,2018,137.0,15.0
333,2,6,2,2019,136.0,15.0
334,2,6,2,2020,137.0,15.0
335,2,6,2,2021,136.0,15.0
336,2,6,2,2022,139.0,15.0
337,2,6,2,2023,142.0,15.0
