Location,Subcategory_ID,Hierarchy_Level,Global_Brand_Owner,Year,Volume_Kl
8,13,1,Asahi Group Holdings Ltd,2019,2218.974341
8,13,1,Asahi Group Holdings Ltd,2020,6347.23031
8,13,1,Asahi Group Holdings Ltd,2021,6330.037814
8,13,1,Beijing Yanjing Brewery Co Ltd,2017,5685.392992
8,13,1,Beijing Yanjing Brewery Co Ltd,2018,5327.913134
8,13,1,Beijing Yanjing Brewery Co Ltd,2019,4837.773892
8,13,1,Beijing Yanjing Brewery Co Ltd,2020,4493.50525
8,13,1,Beijing Yanjing Brewery Co Ltd,2021,4684.668424
8,13,1,Kirin Holdings Co Ltd,2017,4521.516581
8,13,1,Kirin Holdings Co Ltd,2018,4266.661004
8,13,1,Kirin Holdings Co Ltd,2019,4298.312544
8,13,1,Kirin Holdings Co Ltd,2020,4038.236031
8,13,1,Kirin Holdings Co Ltd,2021,2763.065364
8,13,1,Diageo Plc,2017,1826.571202
8,13,1,Diageo Plc,2018,1842.78428
8,13,1,Diageo Plc,2019,1743.241742
8,13,1,Diageo Plc,2020,2455.008651
8,13,1,Diageo Plc,2021,2508.306602
8,13,1,Constellation Brands Inc,2017,1506.373588
8,13,1,Constellation Brands Inc,2018,1670.817872
8,13,1,Constellation Brands Inc,2019,1859.013286
8,13,1,Constellation Brands Inc,2020,2073.769748
8,13,1,Constellation Brands Inc,2021,2303.541615
8,13,1,San Miguel Corp,2017,1582.253627
8,13,1,San Miguel Corp,2018,1635.442111
8,13,1,San Miguel Corp,2019,1662.977692
8,13,1,San Miguel Corp,2020,1913.559748
8,13,1,San Miguel Corp,2021,2177.162971
8,13,1,Castel Groupe,2017,1750.933458
8,13,1,Castel Groupe,2018,1842.218732
8,13,1,Castel Groupe,2019,1769.724406
8,13,1,Castel Groupe,2020,1740.416722
8,13,1,Castel Groupe,2021,1733.730953
8,13,1,Saigon Alcohol Beer & Beverages Corp (Sabeco),2017,1298.701231
8,13,1,Saigon Alcohol Beer & Beverages Corp (Sabeco),2018,1339.999961
8,13,1,Saigon Alcohol Beer & Beverages Corp (Sabeco),2019,1396.799955
8,13,1,Saigon Alcohol Beer & Beverages Corp (Sabeco),2020,1527.453336
8,13,1,Saigon Alcohol Beer & Beverages Corp (Sabeco),2021,1654.31789
8,13,1,Cervejaria PetrÃ³polis SA,2017,1489.940538
8,13,1,Cervejaria PetrÃ³polis SA,2018,1629.510855
8,13,1,Cervejaria PetrÃ³polis SA,2019,1601.521877
